"Date: 2024-05-18+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","PLEX","House of ninjas [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","0","2024-04-22T16:15:35+0000","","-2748779069439","America/Chicago","false","false","Incomplete","0","list","1",""
"","PLEX","Baby reindeer [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","0","2024-04-22T16:15:27+0000","","-2199023255551","America/Chicago","false","false","Incomplete","0","list","2",""
"","PLEX","Spotless [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","0","2024-04-22T16:15:18+0000","","-1649267441663","America/Chicago","false","false","Incomplete","0","list","3",""
"","PLEX","Hollywood nights [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","2","2024-04-19T17:45:49+0000","2024-05-18T06:11:42+0000","-1099511627775","America/Chicago","false","false","Incomplete","0","list","4",""
"","PLEX","Hollywood nights [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","2","2024-04-15T14:10:59+0000","2024-05-18T06:11:42+0000","-549755813887","America/Chicago","false","false","Incomplete","0","list","5",""
"","PLEX","Three in the attic [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","Rent and WEBrip","N","","","","","0","0","2024-04-01T15:28:31+0000","","1","America/Chicago","false","false","Incomplete","0","list","6",""
"","PLEX","Entire James Bond collection [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","2","2024-02-17T02:51:57+0000","2024-05-18T06:11:43+0000","549755813888","America/Chicago","false","false","Incomplete","0","list","7",""
"","PLEX","Poor things [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","0","2024-02-22T02:39:14+0000","","1099511627776","America/Chicago","false","false","Incomplete","0","list","8",""
"","PLEX","Old dads [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","2","2024-02-22T21:18:28+0000","2024-05-18T06:11:43+0000","1649267441664","America/Chicago","false","false","Incomplete","0","list","9",""
"","PLEX","Black sails [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","2","2024-02-25T07:14:55+0000","2024-05-18T06:11:43+0000","2199023255552","America/Chicago","false","false","Incomplete","0","list","10",""
"","PLEX","Video drome or something like that. 80s horror with James woods [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","2","2024-03-04T15:59:54+0000","2024-05-18T06:11:44+0000","2748779069440","America/Chicago","false","false","Incomplete","0","list","11",""
"","PLEX","American Fiction [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","CHECKLIST","ticktick","▫","Y","","","","","0","2","2024-03-13T21:13:18+0000","2024-05-18T06:11:44+0000","3298534883328","America/Chicago","false","false","Incomplete","0","list","12",""
"","PLEX","National treasure [PLEX.md](obsidian://open?vault=Kipp's%20Vault&file=PLEX.md)","TEXT","ticktick","","N","","","","","0","0","2024-03-19T14:50:31+0000","","3848290697216","America/Chicago","false","false","Incomplete","0","list","13",""
